	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published
0	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Bronze 3104, 1.70GHz)	12	2	6	1700	12	344	330	Oct-2017
1	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Bronze 3106, 1.70GHz)	16	2	8	1700	16	458	439	Oct-2017
2	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Bronze 3104, 1.70 GHz)	12	2	6	1700	12	286	275	Aug-2017
3	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Bronze 3104, 1.70 GHz)	12	2	6	1700	12	287	276	Jul-2017
4	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Bronze 3106, 1.70 GHz)	16	2	8	1700	16	409	393	Aug-2017
5	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Bronze 3106, 1.70 GHz)	16	2	8	1700	16	351	327	Jul-2017
6	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Bronze 3104, 1.70 GHz)	12	2	6	1700	12	341	326	Oct-2017
7	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Bronze 3106, 1.70 GHz)	16	2	8	1700	16	441	423	Oct-2017
8	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Bronze 3104, 1.70 GHz)	12	2	6	1700	12	339	325	Sep-2017
9	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Bronze 3106, 1.70 GHz)	16	2	8	1700	16	452	433	Sep-2017
10	CINT2006rate	Dell Inc.	PowerEdge R440 (Intel Xeon Bronze 3106, 1.70 GHz)	16	2	8	1700	16	451	433	Sep-2017
11	CINT2006rate	Dell Inc.	PowerEdge R540 (Intel Xeon Bronze 3106, 1.70 GHz)	16	2	8	1700	16	0	433	Sep-2017
