	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
52	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8176	56	2	28	2100	112	2410	2300	Jul-2017	6361
53	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8176	56	2	28	2100	112	2360	2250	Sep-2017	6422
54	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8153	32	2	16	2100	64	1400	1320	Oct-2017	6453
55	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8160	48	2	24	2100	96	2140	2020	Oct-2017	6453
56	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8170	52	2	26	2100	104	2270	2170	Oct-2017	6453
57	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8176	56	2	28	2100	112	2380	2280	Oct-2017	6453
58	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8153	32	2	16	2000	64	1390	1300	Aug-2017	6391
59	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8160	48	2	24	2100	96	0	2170	Sep-2017	6422
60	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8164	52	2	26	2000	104	2330	2210	Aug-2017	6391
61	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8168	48	2	24	2700	96	2560	2450	Aug-2017	6391
62	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8170	52	2	26	2100	104	2400	2300	Sep-2017	6422
63	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8176	56	2	28	2100	112	2520	2400	Aug-2017	6391
64	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8180M	56	2	28	2500	112	0	2670	Jul-2017	6361
65	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8153	32	2	16	2000	64	0	1320	Jul-2017	6361
66	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8160	48	2	24	2100	96	0	2140	Jul-2017	6361
67	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8160T	48	2	24	2100	96	0	2180	Oct-2017	6453
68	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8164	52	2	26	2000	104	0	2230	Jul-2017	6361
69	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8164	52	2	26	2000	104	0	2150	Jul-2017	6361
70	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8168	48	2	24	2700	96	0	2430	Jul-2017	6361
71	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8170	52	2	26	2100	104	2390	2280	Jul-2017	6361
72	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8176	56	2	28	2100	112	0	2400	Jul-2017	6361
73	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8176	56	2	28	2100	112	0	2390	Jul-2017	6361
