	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
55	CINT2006rate	Huawei	Intel Xeon Silver 4112	8	2	4	2600	16	447	422	Sep-2017	6422
56	CINT2006rate	Huawei	Intel Xeon Silver 4114	20	2	10	2200	40	951	901	Aug-2017	6391
57	CINT2006rate	Huawei	Intel Xeon Silver 4116	24	2	12	2100	48	1100	1040	Sep-2017	6422
58	CINT2006rate	Huawei	Intel Xeon Silver 4116	24	2	12	2100	48	1070	1020	Aug-2017	6391
59	CINT2006rate	Huawei	Intel Xeon Silver 4108	16	2	8	1800	32	669	632	Sep-2017	6422
60	CINT2006rate	Huawei	Intel Xeon Silver 4110	16	2	8	2100	32	743	702	Sep-2017	6422
61	CINT2006rate	Huawei	Intel Xeon Silver 4112	8	2	4	2600	16	448	423	Sep-2017	6422
62	CINT2006rate	Huawei	Intel Xeon Silver 4114	20	2	10	2200	40	950	900	Aug-2017	6391
63	CINT2006rate	Huawei	Intel Xeon Silver 4116	24	2	12	2100	48	1100	1040	Sep-2017	6422
64	CINT2006rate	Huawei	Intel Xeon Silver 4116	24	2	12	2100	48	1080	1020	Aug-2017	6391
65	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	665	631	Oct-2017	6453
66	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	713	677	Oct-2017	6453
67	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	736	699	Oct-2017	6453
68	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1080	1030	Oct-2017	6453
69	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	939	895	Oct-2017	6453
70	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	441	418	Oct-2017	6453
71	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	666	631	Oct-2017	6453
72	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	714	678	Sep-2017	6422
73	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	737	699	Sep-2017	6422
74	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1090	1030	Sep-2017	6422
75	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	943	894	Oct-2017	6453
76	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	443	420	Sep-2017	6422
77	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	658	624	Sep-2017	6422
78	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	706	670	Sep-2017	6422
79	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	728	691	Sep-2017	6422
80	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1070	1020	Sep-2017	6422
81	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	928	885	Sep-2017	6422
82	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	436	413	Sep-2017	6422
83	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	656	623	Sep-2017	6422
84	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	703	668	Sep-2017	6422
85	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	727	690	Sep-2017	6422
86	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1070	1020	Sep-2017	6422
87	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	931	886	Sep-2017	6422
88	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	437	413	Sep-2017	6422
89	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	666	632	Oct-2017	6453
90	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	713	678	Oct-2017	6453
91	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	737	700	Oct-2017	6453
92	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1090	1030	Oct-2017	6453
93	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	938	895	Oct-2017	6453
94	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	442	419	Oct-2017	6453
95	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	667	634	Sep-2017	6422
96	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	711	675	Oct-2017	6453
97	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	739	701	Sep-2017	6422
98	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1090	1040	Sep-2017	6422
99	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	942	898	Sep-2017	6422
100	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	443	421	Sep-2017	6422
101	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4108	16	2	8	1800	32	661	628	Sep-2017	6422
102	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4109T	16	2	8	2000	32	706	670	Sep-2017	6422
103	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4110	16	2	8	2100	32	729	692	Sep-2017	6422
104	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4116	24	2	12	2100	48	1070	1020	Sep-2017	6422
105	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4114	20	2	10	2200	40	932	887	Sep-2017	6422
106	CINT2006rate	Lenovo Global Technology	Intel Xeon Silver 4112	8	2	4	2600	16	435	414	Sep-2017	6422
107	CINT2006rate	M Computers s.r.o.	Intel Xeon Silver 4112	8	2	4	2600	16	0	418	Sep-2017	6422
108	CINT2006rate	M Computers s.r.o.	Intel Xeon Silver 4114	20	2	10	2200	40	0	884	Sep-2017	6422
