                         ARK | Compare Intel® Products                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     11/1/2017 7:07:17 AM                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intel® Xeon® Platinum 8180M Processor (38.5M Cache, 2.50 GHz)","Intel® Xeon® Platinum 8180 Processor (38.5M Cache, 2.50 GHz)","Intel® Xeon® Platinum 8176M Processor (38.5M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8176F Processor (38.5M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8176 Processor (38.5M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8170M Processor (35.75M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8170 Processor (35.75M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8168 Processor (33M Cache, 2.70 GHz)","Intel® Xeon® Platinum 8164 Processor (35.75M Cache, 2.00 GHz)","Intel® Xeon® Platinum 8160T Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8160M Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8160F Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8160 Processor (33M Cache, 2.10 GHz)","Intel® Xeon® Platinum 8158 Processor (24.75M Cache, 3.00 GHz)","Intel® Xeon® Platinum 8156 Processor (16.5M Cache, 3.60 GHz)","Intel® Xeon® Platinum 8153 Processor (22M Cache, 2.00 GHz)","Intel® Xeon® Gold 6154 Processor (24.75M Cache, 3.00 GHz)","Intel® Xeon® Gold 6152 Processor (30.25M Cache, 2.10 GHz)","Intel® Xeon® Gold 6150 Processor (24.75M Cache, 2.70 GHz)","Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz)","Intel® Xeon® Gold 6148 Processor (27.5M Cache, 2.40 GHz)","Intel® Xeon® Gold 6146 Processor (24.75M Cache, 3.20 GHz)","Intel® Xeon® Gold 6144 Processor (24.75M Cache, 3.50 GHz)","Intel® Xeon® Gold 6142M Processor (22M Cache, 2.60 GHz)","Intel® Xeon® Gold 6142F Processor (22M Cache, 2.60 GHz)","Intel® Xeon® Gold 6142 Processor (22M Cache, 2.60 GHz)","Intel® Xeon® Gold 6140M Processor (24.75M Cache, 2.30 GHz)","Intel® Xeon® Gold 6140 Processor (24.75M Cache, 2.30 GHz)","Intel® Xeon® Gold 6138T Processor (27.5M Cache, 2.00 GHz)","Intel® Xeon® Gold 6138F Processor (27.5M Cache, 2.00 GHz)","Intel® Xeon® Gold 6138 Processor (27.5M Cache, 2.00 GHz)","Intel® Xeon® Gold 6136 Processor (24.75M Cache, 3.00 GHz)","Intel® Xeon® Gold 6134M Processor (24.75M Cache, 3.20 GHz)","Intel® Xeon® Gold 6134 Processor (24.75M Cache, 3.20 GHz)","Intel® Xeon® Gold 6132 Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 6130T Processor (22M Cache, 2.10 GHz)","Intel® Xeon® Gold 6130F Processor (22M Cache, 2.10 GHz)","Intel® Xeon® Gold 6130 Processor (22M Cache, 2.10 GHz)","Intel® Xeon® Gold 6128 Processor (19.25M Cache, 3.40 GHz)","Intel® Xeon® Gold 6126T Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 6126F Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 6126 Processor (19.25M Cache, 2.60 GHz)","Intel® Xeon® Gold 5122 Processor (16.5M Cache, 3.60 GHz)","Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz)","Intel® Xeon® Gold 5120 Processor (19.25M Cache, 2.20 GHz)","Intel® Xeon® Gold 5119T Processor (19.25M Cache, 1.90 GHz)","Intel® Xeon® Gold 5118 Processor (16.5M Cache, 2.30 GHz)","Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz)","Intel® Xeon® Silver 4116T Processor (16.5M cache, 2.10 GHz)","Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz)","Intel® Xeon® Silver 4109T Processor (11M Cache, 2.00 GHz)","Intel® Xeon® Bronze 3106 Processor (11M Cache, 1.70 GHz)","Intel® Xeon® Bronze 3104 Processor (8.25M Cache, 1.70 GHz)","Intel® Xeon® Silver 4108 Processor (11M Cache, 1.80 GHz)","Intel® Xeon® Silver 4110 Processor (11M Cache, 2.10 GHz)","Intel® Xeon® Silver 4112 Processor (8.25M Cache, 2.60 GHz)","Intel® Xeon® Silver 4114 Processor (13.75M Cache, 2.20 GHz)","Intel® Xeon® Silver 4116 Processor (16.5M Cache, 2.10 GHz)",
Product Brief,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,
Memory Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Memory Size (dependent on memory type),1.5 TB,768 GB,1.5 TB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,1.5 TB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,768 GB,1.5 TB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,
Memory Types,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2133,DDR4-2133,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,
Maximum Memory Speed,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2666 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,2133 MHz,2133 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,2400 MHz,
Max # of Memory Channels,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Expansion Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalability,S8S,S8S,S8S,2S,S8S,S8S,S8S,S8S,S8S,S8S,S8S,2S,S8S,S8S,S8S,S8S,S4S,S4S,S4S,2S,S4S,S4S,S4S,S4S,2S,S4S,S4S,S4S,S4S,2S,S4S,S4S,S4S,S4S,S4S,S4S,2S,S4S,S4S,S4S,2S,S4S,S4S,S4S,S4S,S4S,S4S,S4S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
Max # of PCI Express Lanes,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,
Package Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockets Supported,FCLGA3647,FCLGA3647,FCLGA3647,,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,
T<sub>CASE</sub>,84°C,84°C,89°C,87°C,89°C,89°C,89°C,85°C,85°C,93°C,85°C,87°C,85°C,85°C,71°C,87°C,82°C,92°C,89°C,87°C,86°C,76°C,75°C,85°C,87°C,85°C,91°C,91°C,94°C,87°C,86°C,85°C,79°C,79°C,86°C,92°C,87°C,87°C,74°C,89°C,86°C,86°C,71°C,89°C,81°C,90°C,81°C,76°C,91°C,92°C,90°C,77°C,78°C,77°C,77°C,76°C,78°C,76°C,
Package Size,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,88.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,
Low Halogen Options Available,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,See MDDS,
Advanced Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Optane™ Memory Supported ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Turbo Boost Max Technology 3.0 ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Intel® Turbo Boost Technology,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,No,2.0,2.0,2.0,2.0,2.0,
Intel® vPro™ Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® TSX-NI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Instruction Set Extensions,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",
# of AVX-512 FMA Units,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Volume Management Device (VMD),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Integrated Intel® Omni-Path Architecture (Intel® OPA),,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,
Security & Reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Run Sure Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
Mode-based Execute Control (MBE),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
